Name,type,RAM,CPU,GPU,ScreenSize,Resoloution,Storage,OS,price
DELL,Notebook,4GB,Intel Core i3 1125G,Intel Iris,14 Inch,1920x1080,256GB SSD,Windows,30000
HP,Notebook,8GB,Intel Core i5 1230U,Intel Iris Xe,15.6 Inch,1920x1080,512GB SSD,Windows,55499
MSI,Notebook,16GB,Intel Core i7 1362,NVIDIA  RTX 4050,15.6 Inch,1920x1080,512GB SSD,Dos, 57199.00
Apple,Ultrabook,8GB,M1,7 core,13 inch,1920x1080,256GB SSD,Mac, 57199.00
HP,Notebook,8GB,Intel Core i7 1255U,NVIDIA  MX570,15.6 Inch,1920x1080,512GB SSD,Dos, 55999.00
Lenovo,Notebook,8GB,Intel Core i5 1335U,NVIDIA  MX550,15.6 Inch,1920x1080,512GB SSD,Dos, 56499.00
Apple,Ultrabook,8GB,M1,8 core,13 inch,1920x1080,256GB SSD,Mac, 58499.00
Lenovo,Notebook,8GB,Intel Core i5 1335U,NVIDIA  MX550,14 Inch,1920x1080,512GB SSD,Dos, 56499.00
Lenovo,Notebook,16GB,AMD Ryzen 7 7840HS,NVIDIA  RTX 3050,15.6 Inch,1920x1080,512GB SSD,Windows, 59799.00
ASUS,Gaming,16GB,AMD Ryzen 7,NVIDIA  RTX 4050,15.6 Inch,1920x1080,512GB SSD,Windows, 59799.00
ASUS,Notebook,16GB,AMD Ryzen 7,AMD Radeon RX 6700S,14 Inch,1920x1080,1TB SSD,Windows, 59799.00
Lenovo,Gaming,8GB,AMD Ryzen 7,NVIDIA  RTX 3060,15.6 Inch,1920x1080,512GB SSD,Windows, 60099.00
DELL,Notebook,8GB,Intel Core i5 1335U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos, 55499.00
Lenovo,Notebook,16GB,Intel Core Ultra 7 155H,Intel Arc,15.6 Inch,1920x1080,512GB SSD,Windows, 60999.00
ASUS,Notebook,16GB,AMD Ryzen 7 6800H,NVIDIA  RTX 3050,15.6 Inch,1920x1080,512GB SSD,Windows, 60999.00
Lenovo,Notebook,16GB,Intel Core i7 1365,NVIDIA  RTX 3050,15.6 Inch,1920x1080,512GB SSD,Dos, 60999.00
DELL,Notebook,8GB,Intel Core i5 1335U,Intel UHD,15.6 Inch,1920x1080,512GB SSD,Dos, 57799.00
Lenovo,Notebook,8GB,Intel Core i7 1255U,NVIDIA  MX550,14 Inch,1920x1080,512GB SSD,Dos, 60999.00
Lenovo,Notebook,16GB,Intel Core i7 1362,NVIDIA  RTX 4050,15.6 Inch,1920x1080,512GB SSD,Dos, 64599.00
Lenovo,Notebook,8GB,Intel Core i7 1255U,NVIDIA  MX550,15.6 Inch,1920x1080,512GB SSD,Dos, 61999.00
MSI,Notebook,16GB,Intel Core Ultra 7 155H,Intel Arc,13 Inch,1920x1080,512GB SSD,Windows, 65899.00
ASUS,Notebook,16GB,Intel Core i7 1355U,Intel Iris Xe,16 inch,1920x1080,512GB SSD,Windows, 65899.00
